index;sentence;aspect;sentiment_coded;polarity
0;I charge it at night and skip taking the cord with me because of the good battery life.;cord;2;neutral
1;I charge it at night and skip taking the cord with me because of the good battery life.;battery life;1;positive
2;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.";service center;0;negative
3;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.";"""sales"" team";0;negative
4;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.";tech guy;2;neutral
5;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.;quality;1;positive
6;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.;GUI;1;positive
7;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.;applications;1;positive
8;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.;use;1;positive
9;Easy to start up and does not overheat as much as other laptops.;start up;1;positive
10;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!;features;1;positive
11;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!;iChat;1;positive
12;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!;Photobooth;1;positive
13;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!;garage band;1;positive
14;Great laptop that offers many great features!;features;1;positive
15; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.;GUI;0;negative
16; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.;screen;0;negative
17; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.;power light;2;neutral
18; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.;hard drive light;0;negative
19;I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.;battery;2;neutral
20;In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).;rubber enclosure;1;positive
21;In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).;edge;0;negative
22;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).;multi-touch gestures;1;positive
23;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).;tracking area;1;positive
24;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).;external mouse;2;neutral
25;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).;gaming;2;neutral
26;I love the way the entire suite of software works together.;suite of software;1;positive
27;The speed is incredible and I am more than satisfied.;speed;1;positive
28;This laptop meets every expectation and Windows 7 is great!;Windows 7;1;positive
29;I can barely use any usb devices because they will not stay connected properly.;usb devices;0;negative
31;When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.;software;2;neutral
32;When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.;system;0;negative
