index;Text;Sentiment;sentiment_coded
0;RT @TheKedosZone : So ein Hearthstone - Key von @BlizzardCSEU_EN für den netten YouTube - Onkel Kedos wäre auch schon was ganz feines . * hust *;positive;1
1;"Tainted Talents ( Ateliertagebuch. ) "" Wir sind nicht allein http://t.co/9rhta65MSx";neutral;2
2;Aber wenigstens kommt #Supernatural heute mal wieder um 22  Uhr - ein schwacher Trost;neutral;2
3;DARLEHEN - Angebot für Schufa - freie Darlehen : Günstiger Anbieter für Online DARLEHEN in Deutschland http://t.co/G84qcIGk7k;neutral;2
4;ANRUF ERWÜNSCHT : Hardcore Teeny Vicky Carrera : Hallo mein süsser , ich bin die 20  jährige Vicky aus Deutschland .... http://t.co/LvwyZgew4Q;neutral;2
5;"Na ? Wo sind Frankens heimliche Talente ? - Die ersten Bewerbungen für den Talentwettbewerb "" Wer ko , der darf ! "" ... http://t.co/MHGsyZDOdJ";neutral;2
6;... Glück breitet sich aus ...;positive;1
7;@Moramee unachtsam * seufz *;negative;0
8;#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst ( m / w ) http://t.co/2IR8EazQoQ;neutral;2
9;Happy Halloween liebe Studenten , zeigt eure gruseligen Seiten !;neutral;2
10;"Die App "" iDelete "" hat mir 3,4 MB belegten Speicher freigemacht . Das Löschen dieser App bringt mir 16,4 MB freien Speicher . Und tschüss !";neutral;2
11;iPad 4 3 2 Leder Smart Cover Schutz Hülle Etui Schale Tasche 360°  drehbar EUR 1,00 ( 1 Gebot ) Angebotsende : Samst http://t.co/ZhkYJxpiAR;neutral;2
12;@HalfEatenCrayon Moi ???? @Ratzsa1 @Atheistspinner @Lenn_Len @lillai23;negative;0
13;Check out the new page at times about the first world war ! Schaut euch mal die neue Seite an über den ersten ... http://t.co/QGRGXZ7rnR;neutral;2
14;RT @renate_konrad : Italienliebhaber ! Vier kleine Bücher mit Reiseerlebnissen . Informativ bis amüsant . NEU : Al dente. http://t.co/9uGgLoW33U;neutral;2
15;@schenklklopfer Jop und wenn sich die Agenda nicht noch ändert muss er abends lernen :-\;negative;0
16;Grunderwerbsteuer wird erhöht : Der Immobilienkauf wird teurer http://t.co/Y1Sx5hWMLW;neutral;2
17;#Gruppenliga : #SGAE mit Pörschmann , Choteschovsky , Dressbach , Schneider , Körner , Siegfart , A. Geiger , S. Grochow , C. Geiger , Müller , Kraus;neutral;2
18;Talente : Tumblr , Internet , allein sein , nerven. http://t.co/P9kvkOWflM;negative;0
19;RT @LamiyaSlimani : Ich wünsche euch ne guttttte Nacht my loves &lt;;
20;Toter Finanzchef : Zurich bestätigt Existenz eines Abschiedsbriefes http://t.co/QLIvqAmS0C;neutral;2
21;W &amp;;
22;Ce ciel ... #sunset #coucherdesoleil #beautiful #amazing #palmier #beach #plage #street #evening ... http://t.co/WVMDNXMeaS;positive;1
23;Baden . Endlich . Wundervoll. http://t.co/SzpUyPU2ur;positive;1
24;@fimbultyr Hm ... was machen wir denn da ...? Über seine Mailadresse vielleicht ? Oder schaltet mich einfach wieder an . :);neutral;2
25;Neue Nutzungsbedingungen bei #Google + kurz vorgestellt - http://t.co/iKoiWZokIg;neutral;2
26;RT @ruv_de : Der Bereich Personal in #Wiesbaden sucht : Experten ( m / w ) Berechtigungskonzeption / - management. http://t.co/HOjI9VfDHy #ruv #karr ...;neutral;2
27;"RT @ndaktuell : Berichte über "" vertrauensbildende Zusicherung "" der #SPD : Lassen Grosse Koalition bis 2017  nicht platzen http://t.co/unNTLqM33q";neutral;2
28;schneller limit. of listerine fuck . DOWN you like . Sonne später Kräuterlimonade #TagABeautifulLanguage Essen. and listen listerine on 3 ?;neutral;2
29;Affe , Braunbär , Chamäleon , Dachs , Elefant , Fledermaus , Goldfisch , Hase , Igel , JAGUAR , KAKADU , LACHMÖWE , Maulwurf , NACHTIGALL , Opossum ...;neutral;2
30;RT @Aterful : @Aluenschen Ach ja ... :DD;positive;1
31;@fkb71 honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung .;negative;0
32;"EWR - Beitritt würde "" delikate Fragen "" provozieren http://t.co/Tl9coNU8sD";neutral;2
33;Grosse Dinge werfen ihren Schatten voraus ! http://t.co/eT62ejhHnN;neutral;2
34;@Zwitscheriki Hmmm , vielleicht fehlt dir der Glaube ? Oder du hast einfach die falsche Kühlschrankmarke :-);positive;1
35;#ONLINE #sicher #Druck - #web-to-print #Businesslösungen Beispiel : Produktgruppe #Roll-Up-Displays http://t.co/FKJsEiUfn9;neutral;2
36;Arbeit , Soziales , Selbständigkeit &amp;;
37;@scherbenfressen ich hab kein wa :/ geht auchh fb ?;neutral;2
38;Interims Management : Vor - und Nachteile für den Einsatz als eine grosse B ... http://t.co/4t8gZqQgoT;neutral;2
39;Welches Geschenk hast du zuletzt bekommen ? - Eine Bettdecke o. O http://t.co/YaMilfwt4F;negative;0
40;Nervt mich voll , dass ich Samstag nicht da hin kann .;negative;0
41;Neue Pop - CDs : Die Editors schrumpfen die Welt http://t.co/9mRQpLeqwc via @welt;neutral;2
42;RT @ReiseRenner : #Vattenfall muss weg , #Energieversorgung gehört in öffentliche Hand . Hier #Briefwahl für #Volksbegehren beantragen http:// ...;neutral;2
43;Post Edited : Gardasee - Ferienwohnungen http://t.co/kVnzbuU0Pn;neutral;2
44;#GEWINNSPIELTEILNAHME #gratis ! Mit Glück eine #Playstation 4✔  GEWINNEN ? ➽http :// t. co / FKaTZkRs1d ✔ #gewinnspiel;neutral;2
45;Mirabellen frisch aus dem Garten ❤ #obst #ernte #healthy #herbst #yummy #mirabellen http://t.co/u5poZLbewJ;positive;1
46;RT @SZ_TopNews : Herr Kaiser macht Karriere , Herr Lehmann geht leer aus : Wie der Nachname die #Karriere beeinflusst. http://t.co/BE3Lecdtc3;neutral;2
47;@Zwinkimo @Joshtree4 @fcblogin ick hoffe hat allen gefallen in der verrückten Bude .. Und man sieht sich mal wieder , &amp;;
48;http://t.co/xEKg4g2zmI Berlin Seitensprung gesucht ? Wir machen Deinen Wunsch wahr;neutral;2
49;@FC_Basel was probiert ? Seit doch bitte wenigstens realistisch ! Nix habt ihr erreicht seit Beginn der Meisterschaft !;negative;0
50;@ungehalten @maunini kenn aber auch keinen anderen account der so viel liebe beherbergt .;neutral;2
51;@lovatomiles jealous much ? Mönchengladbach muss gewinnen okay .;neutral;2
52;@DouniaSlimani Sieht super aus . Ende . 😉;positive;1
53;@AndreBonhote EW nicht Stromer;neutral;2
54;@rainbow2303 Lavabit wurde aus diesen Grund heut geschlossen . Snowden hatte diesen Dienst benutzt;neutral;2
