;index;sentence;label;;;index;sentence;generated_label
0;0;hide new secretions from the parental units ;0;;0;0;hide new secretions from the parental units ;0
1;1;contains no wit , only labored gags ;0;;1;1;contains no wit , only labored gags ;0
2;2;that loves its characters and communicates something rather beautiful about human nature ;1;;2;2;that loves its characters and communicates something rather beautiful about human nature ;1
3;3;remains utterly satisfied to remain the same throughout ;0;;3;3;remains utterly satisfied to remain the same throughout ;1
4;4;on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ;0;;4;4;on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ;0
5;5;that 's far too tragic to merit such superficial treatment ;0;;5;5;that 's far too tragic to merit such superficial treatment ;0
6;6;demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ;1;;6;6;demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ;1
7;7;of saucy ;1;;7;7;of saucy ;0
8;8;a depressed fifteen-year-old 's suicidal poetry ;0;;8;8;a depressed fifteen-year-old 's suicidal poetry ;0
9;9;are more deeply thought through than in most ` right-thinking ' films ;1;;9;9;are more deeply thought through than in most ` right-thinking ' films ;1
10;10;goes to absurd lengths ;0;;10;10;goes to absurd lengths ;0
11;11;for those moviegoers who complain that ` they do n't make movies like they used to anymore ;0;;11;11;for those moviegoers who complain that ` they do n't make movies like they used to anymore ;0
12;12;the part where nothing 's happening , ;0;;12;12;the part where nothing 's happening , ;0
13;13;saw how bad this movie was ;0;;13;13;saw how bad this movie was ;0
14;14;lend some dignity to a dumb story ;0;;14;14;lend some dignity to a dumb story ;0
15;15;the greatest musicians ;1;;15;15;the greatest musicians ;1
16;16;cold movie ;0;;16;16;cold movie ;0
17;17;with his usual intelligence and subtlety ;1;;17;17;with his usual intelligence and subtlety ;1
18;18;redundant concept ;0;;18;18;redundant concept ;0
19;19;swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ;1;;19;19;swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ;1
20;20;equals the original and in some ways even betters it ;1;;20;20;equals the original and in some ways even betters it ;1
21;21;if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ;1;;21;21;if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ;1
22;22;a smile on your face ;1;;22;22;a smile on your face ;1
23;23;comes from the brave , uninhibited performances ;1;;23;23;comes from the brave , uninhibited performances ;1
24;24;excruciatingly unfunny and pitifully unromantic ;0;;24;24;excruciatingly unfunny and pitifully unromantic ;0
25;25;enriched by an imaginatively mixed cast of antic spirits ;1;;25;25;enriched by an imaginatively mixed cast of antic spirits ;1
26;26;which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ;0;;26;26;which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ;0
27;27;in world cinema ;1;;27;27;in world cinema ;1
28;28;very good viewing alternative ;1;;28;28;very good viewing alternative ;1
29;29;the plot is nothing but boilerplate clichés from start to finish , ;0;;29;29;the plot is nothing but boilerplate clichés from start to finish , ;0
30;30;the action is stilted ;0;;30;30;the action is stilted ;0
31;31;on all cylinders ;1;;31;31;on all cylinders ;1
32;32;will find little of interest in this film , which is often preachy and poorly acted ;0;;32;32;will find little of interest in this film , which is often preachy and poorly acted ;0
33;33;by far the worst movie of the year ;0;;33;33;by far the worst movie of the year ;0
34;34;sit through , ;0;;34;34;sit through , ;0
35;35;more than another `` best man '' clone by weaving a theme throughout this funny film ;1;;35;35;more than another `` best man '' clone by weaving a theme throughout this funny film ;1
